Day,Away,Home,RA,RH,Inn
1,109,SFG,PHI,2,0,9
1,109,STL,WSN,12,5,9
2,110,LAD,SEA,1,0,9
2,110,HOU,COL,2,6,9
2,110,MIN,OAK,0,7,7
2,110,MIN,OAK,0,1,7
2,110,TEX,LAA,2,6,9
2,110,CHW,CLE,8,5,9
2,110,TBR,KCR,14,7,9
2,110,BAL,MIA,7,5,9
2,110,TOR,BOS,2,4,9
2,110,ATL,NYY,1,3,9
2,110,ARI,CIN,5,4,9
2,110,MIL,SDP,6,0,9
2,110,SFG,PHI,10,7,9
2,110,NYM,CHC,1,3,9
2,110,STL,WSN,2,3,9
3,111,HOU,COL,3,6,9
3,111,MIN,OAK,12,13,10
3,111,TEX,LAA,7,4,9
3,111,PIT,DET,3,2,7
3,111,PIT,DET,2,5,7
3,111,TBR,KCR,8,9,9
3,111,BAL,MIA,0,3,9
3,111,TOR,BOS,6,3,9
3,111,ATL,NYY,4,1,9
3,111,ARI,CIN,8,5,10
3,111,MIL,SDP,4,2,9
3,111,SFG,PHI,5,6,9
3,111,NYM,CHC,4,16,9
3,111,STL,WSN,0,1,9
4,112,SEA,BOS,7,3,10
4,112,LAA,HOU,2,8,9
4,112,NYY,CLE,6,3,9
4,112,PIT,DET,4,2,9
4,112,ARI,CIN,14,11,10
4,112,SDP,LAD,3,2,9
4,112,MIA,SFG,0,3,9
4,112,NYM,CHC,3,4,10
5,113,SEA,BOS,5,6,9
5,113,LAA,HOU,4,5,10
5,113,OAK,BAL,3,1,9
5,113,TEX,CHW,7,9,9
5,113,NYY,CLE,5,3,9
5,113,KCR,DET,6,2,9
5,113,PIT,MIN,0,2,9
5,113,TOR,TBR,5,3,9
5,113,ARI,ATL,4,5,9
5,113,PHI,COL,4,5,9
5,113,SDP,LAD,6,1,9
5,113,MIA,SFG,3,5,9
5,113,MIL,CHC,2,15,9
5,113,CIN,STL,4,5,9
5,113,WSN,NYM,0,6,9
6,114,SEA,BOS,8,2,9
6,114,LAA,HOU,2,16,9
6,114,OAK,BAL,7,2,9
6,114,TEX,CHW,1,2,9
6,114,NYY,CLE,2,1,9
6,114,KCR,DET,2,1,9
6,114,PIT,MIN,6,2,9
6,114,TOR,TBR,3,5,9
6,114,PHI,COL,7,5,9
6,114,SDP,LAD,4,5,9
6,114,MIA,SFG,5,2,9
6,114,MIL,CHC,4,3,9
6,114,CIN,STL,0,2,9
6,114,WSN,NYM,7,1,9
0,115,SEA,BOS,3,5,9
0,115,LAA,HOU,4,2,9
0,115,OAK,BAL,1,8,9
0,115,TEX,CHW,4,8,9
0,115,NYY,CLE,3,7,9
0,115,KCR,DET,4,0,9
0,115,PIT,MIN,6,2,9
0,115,TOR,TBR,1,0,9
0,115,ARI,ATL,5,0,7
0,115,ARI,ATL,7,0,7
0,115,PHI,COL,2,12,9
0,115,SDP,LAD,8,7,11
0,115,MIA,SFG,3,4,9
0,115,MIL,CHC,6,0,9
0,115,CIN,STL,2,5,9
0,115,WSN,NYM,0,4,9
1,116,SEA,HOU,2,5,9
1,116,OAK,TBR,2,1,9
1,116,LAA,TEX,9,4,9
1,116,MIN,CLE,3,5,10
1,116,KCR,DET,3,2,9
1,116,NYY,BAL,2,4,9
1,116,COL,SFG,0,12,9
1,116,CIN,LAD,5,3,10
1,116,CHC,ATL,7,8,9
1,116,MIA,MIL,8,0,9
1,116,PHI,STL,2,1,9
2,117,SEA,HOU,0,2,9
2,117,OAK,TBR,3,4,9
2,117,LAA,TEX,1,6,9
2,117,DET,CHW,5,2,9
2,117,MIN,CLE,4,7,9
2,117,KCR,PIT,1,2,9
2,117,NYY,BAL,5,1,9
2,117,BOS,NYM,2,1,9
2,117,WSN,TOR,5,9,9
2,117,SDP,ARI,1,5,9
2,117,COL,SFG,7,5,10
2,117,CIN,LAD,6,5,9
2,117,CHC,ATL,0,5,9
2,117,MIA,MIL,4,5,9
2,117,PHI,STL,2,5,9
3,118,SEA,HOU,5,7,9
3,118,OAK,TBR,0,2,9
3,118,LAA,TEX,4,3,9
3,118,MIN,CLE,10,2,9
3,118,KCR,PIT,9,6,9
3,118,NYY,BAL,7,0,9
3,118,BOS,NYM,1,0,9
3,118,WSN,TOR,8,2,9
3,118,SDP,ARI,12,3,9
3,118,COL,SFG,3,7,9
3,118,CIN,LAD,0,8,9
3,118,CHC,ATL,0,10,9
3,118,MIA,MIL,6,2,9
3,118,PHI,STL,5,3,9
4,119,SEA,HOU,1,0,9
4,119,OAK,TBR,3,2,9
4,119,BOS,TEX,1,4,9
4,119,DET,CHW,1,3,7
4,119,DET,CHW,0,11,7
4,119,NYY,BAL,3,4,10
4,119,COL,ARI,3,5,9
4,119,LAD,MIL,1,2,9
4,119,CHC,ATL,9,3,9
4,119,PHI,STL,3,4,10
5,120,LAA,SEA,4,7,9
5,120,HOU,TBR,9,2,9
5,120,BAL,OAK,3,2,9
5,120,BOS,TEX,6,1,9
5,120,CLE,CHW,5,3,9
5,120,DET,NYY,0,10,9
5,120,KCR,MIN,1,9,9
5,120,ATL,TOR,5,13,9
5,120,COL,ARI,2,7,9
5,120,LAD,MIL,1,3,9
5,120,SFG,SDP,2,3,9
5,120,CHC,CIN,6,8,9
5,120,STL,PIT,7,3,9
5,120,MIA,WSN,1,2,10
5,120,NYM,PHI,1,2,9
6,121,LAA,SEA,10,5,9
6,121,HOU,TBR,3,1,9
6,121,BAL,OAK,8,4,9
6,121,BOS,TEX,6,8,9
6,121,CLE,CHW,3,7,9
6,121,DET,NYY,4,6,9
6,121,KCR,MIN,11,3,9
6,121,ATL,TOR,5,6,10
6,121,COL,ARI,14,6,9
6,121,LAD,MIL,5,6,11
6,121,SFG,SDP,2,6,9
6,121,CHC,CIN,3,2,9
6,121,STL,PIT,12,5,9
6,121,MIA,WSN,2,7,9
6,121,NYM,PHI,5,4,9
0,122,LAA,SEA,0,2,9
0,122,HOU,TBR,4,5,9
0,122,BAL,OAK,5,7,9
0,122,BOS,TEX,3,5,9
0,122,CLE,CHW,5,0,9
0,122,DET,NYY,0,2,9
0,122,KCR,MIN,4,13,9
0,122,ATL,TOR,2,7,9
0,122,COL,ARI,4,8,9
0,122,LAD,MIL,16,4,9
0,122,SFG,SDP,7,1,9
0,122,CHC,CIN,12,13,10
0,122,STL,PIT,3,0,9
0,122,MIA,WSN,1,3,9
0,122,NYM,PHI,8,7,9
1,123,BAL,SEA,5,3,9
1,123,TOR,OAK,4,5,9
1,123,TBR,LAA,7,3,9
1,123,TEX,MIN,5,6,9
1,123,CLE,KCR,8,6,9
1,123,PIT,SDP,0,2,9
1,123,MIL,PHI,3,4,9
1,123,NYM,STL,5,6,9
2,124,BAL,SEA,2,5,9
2,124,HOU,NYY,3,7,9
2,124,TOR,OAK,1,4,9
2,124,TBR,LAA,8,3,9
2,124,TEX,MIN,6,3,10
2,124,CHW,CIN,9,0,9
2,124,CLE,KCR,7,3,9
2,124,DET,BOS,7,11,9
2,124,ARI,MIA,3,9,9
2,124,SFG,COL,12,4,7
2,124,SFG,COL,6,8,7
2,124,LAD,CHC,1,7,7
2,124,LAD,CHC,3,4,9
2,124,PIT,SDP,2,1,9
2,124,MIL,PHI,5,6,9
2,124,ATL,WSN,6,1,9
3,125,BAL,SEA,6,0,9
3,125,HOU,NYY,3,6,9
3,125,TOR,OAK,9,4,9
3,125,TBR,LAA,3,1,9
3,125,TEX,MIN,3,1,9
3,125,CHW,CIN,0,1,10
3,125,CLE,KCR,5,4,9
3,125,DET,BOS,6,5,10
3,125,ARI,MIA,0,8,9
3,125,SFG,COL,5,6,9
3,125,LAD,CHC,5,6,11
3,125,PIT,SDP,2,4,9
3,125,MIL,PHI,4,5,9
3,125,NYM,STL,1,4,7
3,125,NYM,STL,7,2,7
3,125,ATL,WSN,5,3,9
4,126,HOU,NYY,7,4,9
4,126,TOR,OAK,10,4,9
4,126,TBR,LAA,8,3,9
4,126,TEX,MIN,4,3,10
4,126,CLE,KCR,4,0,9
4,126,DET,BOS,9,12,9
4,126,ARI,MIA,1,3,9
4,126,MIL,PHI,0,2,9
4,126,NYM,STL,4,1,9
4,126,ATL,WSN,3,2,9
5,127,SEA,TEX,5,4,9
5,127,TOR,HOU,4,10,9
5,127,TBR,OAK,1,2,9
5,127,LAD,LAA,2,9,9
5,127,CHW,KCR,3,0,9
5,127,CIN,CLE,3,0,9
5,127,MIN,DET,7,3,9
5,127,BOS,BAL,6,2,9
5,127,WSN,NYY,11,4,9
5,127,ARI,NYM,4,5,10
