WkDay,Day,Away,Home,RA,RH,Inn
3,113,TEX,ATH,2,5,9
3,113,PIT,LAA,3,0,9
3,113,CHW,MIN,3,6,9
3,113,NYY,CLE,5,1,9
3,113,SDP,DET,0,6,9
3,113,BAL,WSN,3,4,9
3,113,TBR,ARI,7,6,11
3,113,LAD,CHC,6,7,9
3,113,MIL,SFG,2,4,9
3,113,CIN,MIA,5,2,9
3,113,STL,ATL,1,4,9
3,113,PHI,NYM,3,4,10
4,114,SEA,BOS,4,3,9
4,114,TEX,ATH,3,4,9
4,114,PIT,LAA,3,4,9
4,114,CHW,MIN,3,0,7
4,114,COL,KCR,4,7,9
4,114,COL,KCR,2,6,9
4,114,BAL,WSN,2,1,9
4,114,TBR,ARI,7,4,10
4,114,MIL,SFG,5,6,9
5,115,MIA,SEA,8,4,9
5,115,HOU,KCR,0,2,9
5,115,CHW,ATH,5,6,9
5,115,LAA,MIN,4,11,9
5,115,TEX,SFG,2,0,9
5,115,TOR,NYY,4,2,9
5,115,TBR,SDP,1,0,9
5,115,ATL,ARI,8,2,9
5,115,CIN,COL,8,7,9
5,115,PIT,LAD,3,0,9
5,115,PHI,CHC,0,4,9
5,115,MIL,STL,2,3,9
5,115,NYM,WSN,4,5,9
6,116,MIA,SEA,0,14,9
6,116,HOU,KCR,0,2,9
6,116,CHW,ATH,10,3,9
6,116,LAA,MIN,1,5,9
6,116,TEX,SFG,2,3,9
6,116,BOS,CLE,4,5,9
6,116,BOS,CLE,7,3,9
6,116,BAL,DET,3,4,9
6,116,BAL,DET,2,6,9
6,116,TBR,SDP,4,1,9
6,116,ATL,ARI,8,7,10
6,116,CIN,COL,6,4,9
6,116,PIT,LAD,4,8,9
6,116,PHI,CHC,10,4,9
6,116,MIL,STL,5,6,9
6,116,NYM,WSN,2,0,9
0,117,MIA,SEA,6,7,9
0,117,HOU,KCR,7,3,9
0,117,CHW,ATH,2,3,10
0,117,LAA,MIN,0,5,9
0,117,TEX,SFG,2,3,9
0,117,BOS,CLE,13,3,9
0,117,BAL,DET,0,7,9
0,117,TOR,NYY,2,11,9
0,117,TOR,NYY,1,5,9
0,117,TBR,SDP,4,2,9
0,117,ATL,ARI,4,6,9
0,117,CIN,COL,8,1,9
0,117,PIT,LAD,2,9,9
0,117,PHI,CHC,3,1,10
0,117,MIL,STL,7,1,9
0,117,NYM,WSN,7,8,9
1,118,DET,HOU,5,8,9
1,118,ATH,TEX,2,1,9
1,118,MIN,CLE,11,1,9
1,118,NYY,BAL,3,4,9
1,118,ATL,COL,6,3,9
1,118,MIA,LAD,6,7,10
1,118,STL,CIN,1,3,9
1,118,NYM,WSN,19,5,9
2,119,LAA,SEA,3,5,9
2,119,DET,HOU,4,6,9
2,119,ATH,TEX,2,15,9
2,119,MIL,CHW,7,2,9
2,119,MIN,CLE,1,2,9
2,119,KCR,TBR,3,1,9
2,119,NYY,BAL,15,3,9
2,119,BOS,TOR,10,2,9
2,119,ARI,NYM,3,8,9
2,119,ATL,COL,8,2,9
2,119,MIA,LAD,2,15,9
2,119,SFG,SDP,4,7,9
2,119,CHC,PIT,9,0,9
2,119,WSN,PHI,6,7,9
3,120,LAA,SEA,3,9,9
3,120,DET,HOU,7,4,9
3,120,ATH,TEX,7,1,9
3,120,MIL,CHW,6,4,9
3,120,MIN,CLE,2,4,9
3,120,KCR,TBR,3,0,9
3,120,NYY,BAL,4,5,9
3,120,BOS,TOR,6,7,10
3,120,ARI,NYM,4,3,9
3,120,ATL,COL,1,2,9
3,120,MIA,LAD,7,12,9
3,120,SFG,SDP,3,5,9
3,120,CHC,PIT,3,4,9
3,120,STL,CIN,6,0,9
3,120,STL,CIN,9,1,9
3,120,WSN,PHI,2,7,9
4,121,ATH,TEX,3,0,9
4,121,DET,LAA,10,4,9
4,121,MIL,CHW,0,8,9
4,121,MIN,CLE,3,4,10
4,121,KCR,TBR,8,2,9
4,121,BOS,TOR,2,4,9
4,121,ARI,NYM,4,2,9
4,121,COL,SFG,4,3,9
4,121,CHC,PIT,8,3,9
4,121,STL,CIN,1,9,9
4,121,WSN,PHI,4,2,9
5,122,SEA,TEX,13,1,9
5,122,HOU,CHW,3,7,9
5,122,ATH,MIA,6,1,9
5,122,DET,LAA,9,1,9
5,122,CLE,TOR,3,5,9
5,122,KCR,BAL,0,3,9
5,122,MIN,BOS,1,6,9
5,122,TBR,NYY,0,3,9
5,122,ARI,PHI,2,3,9
5,122,COL,SFG,0,4,9
5,122,LAD,ATL,2,1,9
5,122,SDP,PIT,9,4,9
5,122,CHC,MIL,10,0,9
5,122,WSN,CIN,1,6,9
5,122,NYM,STL,9,3,9
6,123,SEA,TEX,2,1,9
6,123,HOU,CHW,8,3,9
6,123,ATH,MIA,6,9,9
6,123,DET,LAA,2,5,9
6,123,CLE,TOR,5,3,9
6,123,KCR,BAL,4,0,9
6,123,MIN,BOS,4,3,9
6,123,TBR,NYY,3,2,9
6,123,ARI,PHI,2,7,9
6,123,COL,SFG,3,6,9
6,123,LAD,ATL,10,3,9
6,123,SDP,PIT,2,1,9
6,123,CHC,MIL,6,2,9
6,123,WSN,CIN,11,6,9
0,124,SEA,TEX,1,8,9
0,124,HOU,CHW,4,5,7
0,124,ATH,MIA,3,2,9
0,124,DET,LAA,13,1,9
0,124,CLE,TOR,5,4,9
0,124,KCR,BAL,11,6,9
0,124,MIN,BOS,5,4,9
0,124,TBR,NYY,7,5,9
0,124,ARI,PHI,11,9,10
0,124,COL,SFG,3,9,9
0,124,LAD,ATL,3,4,9
0,124,SDP,PIT,4,0,9
0,124,CHC,MIL,0,4,9
0,124,WSN,CIN,4,1,9
0,124,NYM,STL,5,6,9
0,124,NYM,STL,4,5,9
1,125,SEA,ATH,6,7,11
1,125,HOU,MIL,1,5,9
1,125,CHW,KCR,0,3,9
1,125,SDP,NYY,4,3,9
1,125,NYM,ARI,5,4,9
1,125,LAD,MIA,7,4,9
1,125,SFG,CHC,2,9,9
1,125,CIN,ATL,0,4,9
1,125,PIT,STL,3,6,9
2,126,SEA,ATH,5,3,9
2,126,HOU,MIL,3,4,9
2,126,TOR,LAA,3,8,9
2,126,TEX,BOS,6,1,9
2,126,CHW,KCR,3,4,9
2,126,CLE,WSN,9,10,9
2,126,CLE,WSN,9,1,9
2,126,BAL,MIN,1,9,9
2,126,SDP,NYY,3,12,9
2,126,PHI,TBR,8,4,9
2,126,NYM,ARI,1,5,9
2,126,LAD,MIA,4,5,10
2,126,SFG,CHC,14,5,11
2,126,CIN,ATL,1,2,10
2,126,PIT,STL,1,2,9
3,127,SEA,ATH,6,5,9
3,127,HOU,MIL,9,1,9
3,127,TOR,LAA,4,5,9
3,127,TEX,BOS,4,6,9
3,127,CHW,KCR,1,2,9
3,127,CLE,WSN,8,6,9
3,127,DET,COL,8,6,10
3,127,BAL,MIN,2,5,9
3,127,SDP,NYY,3,4,10
3,127,PHI,TBR,7,0,9
3,127,NYM,ARI,7,1,9
3,127,LAD,MIA,10,1,9
3,127,SFG,CHC,3,1,9
3,127,CIN,ATL,4,3,9
3,127,PIT,STL,0,5,9
4,128,TOR,LAA,8,5,9
4,128,TEX,BOS,0,5,9
4,128,CHW,KCR,0,10,9
4,128,DET,COL,10,2,9
4,128,DET,COL,11,1,9
4,128,BAL,MIN,2,5,9
4,128,PHI,TBR,7,6,10
4,128,LAD,ARI,3,5,9
4,128,CIN,ATL,4,5,11
5,129,TOR,SEA,6,3,9
5,129,CIN,HOU,0,3,9
5,129,NYY,ATH,10,2,9
5,129,BAL,LAA,4,1,9
5,129,TEX,DET,1,2,9
5,129,MIA,CHW,2,6,9
5,129,PHI,CLE,0,6,9
5,129,BOS,KCR,1,2,12
5,129,SFG,MIN,1,3,9
5,129,MIL,TBR,3,4,9
5,129,LAD,ARI,14,11,9
5,129,SDP,COL,13,9,9
5,129,CHC,NYM,2,7,9
5,129,ATL,PIT,2,3,9
5,129,STL,WSN,10,0,9
6,130,TOR,SEA,6,3,9
6,130,CIN,HOU,13,9,9
6,130,NYY,ATH,7,11,9
6,130,BAL,LAA,2,5,9
6,130,TEX,DET,10,3,9
6,130,MIA,CHW,3,1,9
6,130,PHI,CLE,7,1,9
6,130,BOS,KCR,10,1,9
6,130,SFG,MIN,1,2,9
6,130,MIL,TBR,2,3,9
6,130,LAD,ARI,0,3,9
6,130,SDP,COL,21,0,9
6,130,CHC,NYM,6,5,9
6,130,ATL,PIT,3,2,11
6,130,STL,WSN,4,2,9
0,131,TOR,SEA,9,1,9
0,131,CIN,HOU,0,6,9
0,131,NYY,ATH,12,2,9
0,131,BAL,LAA,7,3,9
0,131,TEX,DET,6,1,9
0,131,MIA,CHW,2,4,9
0,131,PHI,CLE,3,0,9
0,131,BOS,KCR,3,1,9
0,131,SFG,MIN,6,7,10
0,131,MIL,TBR,4,2,9
0,131,LAD,ARI,8,1,9
0,131,SDP,COL,3,9,9
0,131,CHC,NYM,2,6,9
0,131,ATL,PIT,3,4,9
0,131,STL,WSN,6,1,9
1,132,NYY,SEA,11,5,9
1,132,KCR,HOU,7,5,9
1,132,LAA,SDP,9,5,9
1,132,COL,TEX,1,2,9
1,132,MIL,CLE,0,5,9
1,132,BOS,DET,2,14,9
1,132,ARI,SFG,2,1,9
1,132,MIA,CHC,2,5,9
1,132,PIT,NYM,3,4,9
1,132,STL,PHI,3,2,9
1,132,WSN,ATL,3,4,9
2,133,NYY,SEA,1,2,11
2,133,KCR,HOU,1,2,9
2,133,ATH,LAD,11,1,9
2,133,LAA,SDP,4,6,9
2,133,COL,TEX,1,4,9
2,133,CHW,CIN,5,1,10
2,133,MIL,CLE,0,2,9
2,133,BOS,DET,9,10,11
2,133,TBR,TOR,11,9,9
2,133,ARI,SFG,6,10,9
2,133,MIA,CHC,4,5,9
2,133,PIT,NYM,1,2,9
2,133,WSN,ATL,2,5,9
3,134,NYY,SEA,3,2,9
3,134,KCR,HOU,3,4,9
3,134,ATH,LAD,3,9,9
3,134,LAA,SDP,1,5,9
3,134,COL,TEX,3,8,9
3,134,CHW,CIN,4,2,9
3,134,MIL,CLE,9,5,9
3,134,BOS,DET,5,6,9
3,134,MIN,BAL,6,3,9
3,134,MIN,BAL,8,6,9
3,134,TBR,TOR,1,3,9
3,134,ARI,SFG,8,7,9
3,134,MIA,CHC,3,1,9
3,134,PIT,NYM,4,0,9
3,134,STL,PHI,1,2,9
3,134,STL,PHI,14,7,9
3,134,WSN,ATL,5,4,9
4,135,HOU,TEX,0,1,9
4,135,ATH,LAD,2,19,9
4,135,CHW,CIN,1,7,9
4,135,MIN,BAL,4,0,9
4,135,TBR,TOR,8,3,9
4,135,WSN,ATL,2,5,9
5,136,SEA,SDP,5,1,9
5,136,HOU,TEX,6,3,9
5,136,ATH,SFG,1,9,9
5,136,LAA,LAD,6,2,9
5,136,CHW,CHC,3,13,9
5,136,CLE,CIN,4,5,9
5,136,DET,TOR,5,4,9
5,136,STL,KCR,10,3,9
5,136,MIN,MIL,3,0,9
5,136,WSN,BAL,4,3,9
5,136,ATL,BOS,4,2,9
5,136,NYM,NYY,2,6,9
5,136,TBR,MIA,4,9,9
5,136,COL,ARI,0,8,9
5,136,PIT,PHI,4,8,9
6,137,SEA,SDP,4,1,9
6,137,HOU,TEX,1,5,9
6,137,ATH,SFG,0,1,10
6,137,LAA,LAD,11,9,9
6,137,CHW,CHC,3,7,9
6,137,CLE,CIN,1,4,9
6,137,DET,TOR,1,2,9
6,137,STL,KCR,1,0,9
6,137,MIN,MIL,7,0,9
6,137,WSN,BAL,10,6,9
6,137,ATL,BOS,6,7,9
6,137,NYM,NYY,3,2,9
6,137,TBR,MIA,4,0,9
6,137,COL,ARI,14,12,9
6,137,PIT,PHI,2,5,9
0,138,SEA,SDP,6,1,9
0,138,HOU,TEX,4,3,9
0,138,ATH,SFG,2,3,9
0,138,LAA,LAD,6,4,9
0,138,CHW,CHC,2,6,9
0,138,CLE,CIN,1,3,9
0,138,DET,TOR,3,2,9
0,138,STL,KCR,1,2,9
0,138,MIN,MIL,2,5,9
0,138,WSN,BAL,10,4,9
0,138,ATL,BOS,10,4,9
0,138,NYM,NYY,2,8,9
0,138,TBR,MIA,1,5,9
0,138,COL,ARI,0,1,9
0,138,PIT,PHI,0,1,9
1,139,SEA,CHW,5,1,9
1,139,HOU,TBR,4,3,9
1,139,LAA,ATH,4,3,9
1,139,CLE,MIN,5,6,9
1,139,DET,STL,4,11,9
1,139,KCR,SFG,3,1,9
1,139,BAL,MIL,4,5,9
1,139,NYM,BOS,1,3,9
1,139,ARI,LAD,9,5,9
1,139,PHI,COL,9,3,9
1,139,CHC,MIA,7,8,9
1,139,CIN,PIT,7,1,9
2,140,SEA,CHW,0,1,9
2,140,HOU,TBR,2,3,9
2,140,LAA,ATH,7,5,9
2,140,TEX,NYY,2,5,9
2,140,DET,STL,5,4,9
2,140,KCR,SFG,2,3,9
2,140,BAL,MIL,2,5,9
2,140,NYM,BOS,0,2,9
2,140,SDP,TOR,0,3,9
2,140,ARI,LAD,3,4,10
2,140,PHI,COL,7,4,9
2,140,CHC,MIA,14,1,9
2,140,CIN,PIT,0,1,9
2,140,ATL,WSN,3,5,9
3,141,SEA,CHW,6,5,9
3,141,HOU,TBR,4,8,9
3,141,LAA,ATH,10,5,9
3,141,TEX,NYY,3,4,9
3,141,CLE,MIN,5,1,9
3,141,DET,STL,5,1,9
3,141,KCR,SFG,8,4,9
3,141,BAL,MIL,8,4,11
3,141,NYM,BOS,5,1,9
3,141,SDP,TOR,0,14,9
3,141,ARI,LAD,1,3,9
3,141,PHI,COL,9,5,9
3,141,CHC,MIA,2,1,9
3,141,CIN,PIT,1,3,9
4,142,SEA,HOU,2,9,9
4,142,LAA,ATH,10,5,9
