['W', 'MIT', 'Dartmouth']
['W', 'Princeton', 'Pennsylvania']
['W', 'Trinity (CT)', 'Amherst']
['W', 'Yale', 'Rutgers']
['W', 'Harvard', 'Princeton']
['W', 'Lafayette', 'Rutgers']
['W', 'MIT', 'Amherst']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Trinity (CT)', 'Stevens']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Lafayette', 'Pennsylvania']
['W', 'Dartmouth', 'Trinity (CT)']
['W', 'Harvard', 'Pennsylvania']
['W', 'MIT', 'Stevens']
['W', 'Yale', 'Princeton']
['W', 'Lafayette', 'Lehigh']
['W', 'Amherst', 'Stevens']
['W', 'MIT', 'Tufts']
['W', 'Wesleyan (CT)', 'Pennsylvania']
['W', 'Yale', 'Harvard']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Harvard', 'WPI']
['W', 'Princeton', 'Lehigh']
['W', 'Trinity (CT)', 'Amherst']
['W', 'Harvard', 'MIT']
['W', 'Lehigh', 'Swarthmore']
['W', 'Pennsylvania', 'Stevens']
['W', 'Wesleyan (CT)', 'Amherst']
['W', 'Yale', 'Rutgers']
['W', 'Lafayette', 'Bucknell']
['W', 'Princeton', 'Pennsylvania']
['T', 'Amherst', 'Trinity (CT)']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Lafayette', 'Swarthmore']
['W', 'Princeton', 'Stevens']
['W', 'Williams', 'Amherst']
['W', 'Yale', 'Pennsylvania']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Harvard', 'Williams']
['W', 'Pennsylvania', 'Swarthmore']
['W', 'Yale', 'Amherst']
['W', 'Lafayette', 'Rutgers']
['W', 'Lehigh', 'Swarthmore']
['W', 'MIT', 'Stevens']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Williams']
['W', 'Harvard', 'WPI']
['W', 'Lehigh', 'Bucknell']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'MIT']
['W', 'Cornell', 'Williams']
['W', 'Harvard', 'Dartmouth']
['W', 'MIT', 'Amherst']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Princeton', 'Rutgers']
['W', 'Yale', 'Stevens']
['W', 'Harvard', 'MIT']
['T', 'Rutgers', 'Stevens']
['W', 'Williams', 'Rutgers']
['W', 'Harvard', 'Amherst']
['W', 'Trinity (CT)', 'Stevens']
['W', 'Yale', 'Pennsylvania']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Lafayette', 'Pennsylvania']
['W', 'Lehigh', 'Rutgers']
['W', 'Dartmouth', 'Williams']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Lafayette', 'Cornell']
['W', 'Lehigh', 'Stevens']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Amherst']
['W', 'Cornell', 'Bucknell']
['W', 'Dartmouth', 'MIT']
['W', 'Lehigh', 'Lafayette']
['W', 'Princeton', 'Harvard']
['W', 'Trinity (CT)', 'WPI']
['W', 'Williams', 'Stevens']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Harvard', 'Pennsylvania']
['W', 'Stevens', 'Dartmouth']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Wesleyan (CT)', 'WPI']
['W', 'Williams', 'MIT']
['W', 'Yale', 'Princeton']
['W', 'Lehigh', 'Lafayette']
['W', 'Pennsylvania', 'Wesleyan (CT)']
['W', 'Dartmouth', 'Amherst']
['W', 'WPI', 'Trinity (CT)']
['W', 'Lehigh', 'Cornell']
['W', 'Stevens', 'Trinity (CT)']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Yale', 'Williams']
['W', 'Cornell', 'Bucknell']
['W', 'Harvard', 'Stevens']
['W', 'Pennsylvania', 'Swarthmore']
['W', 'Princeton', 'Lehigh']
['W', 'Trinity (CT)', 'Wesleyan (CT)']
['T', 'Amherst', 'Williams']
['W', 'Harvard', 'Dartmouth']
['T', 'Columbia', 'Lafayette']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Dickinson', 'Bucknell']
['W', 'Cornell', 'Lafayette']
['W', 'Harvard', 'MIT']
['W', 'Pennsylvania', 'Rutgers']
['W', 'Princeton', 'Lehigh']
['W', 'Trinity (CT)', 'Columbia']
['W', 'Yale', 'Cornell']
['W', 'Harvard', 'Williams']
['W', 'Lafayette', 'Rutgers']
['W', 'Wesleyan (CT)', 'Amherst']
['T', 'Franklin & Marshall', 'Bucknell']
['W', 'Dickinson', 'Swarthmore']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Princeton', 'Stevens']
['W', 'Wesleyan (CT)', 'Rutgers']
['W', 'Yale', 'Amherst']
['W', 'Yale', 'Trinity (CT)']
['W', 'Franklin & Marshall', 'Bucknell']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'MIT', 'Amherst']
['W', 'Penn State', 'Swarthmore']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Columbia']
['W', 'Dickinson', 'Franklin & Marshall']
['W', 'Lehigh', 'Lafayette']
['W', 'Wesleyan (CT)', 'Williams']
