173,3,"Sep 13, 2014",Duke,41,Kansas,3,0
174,3,"Sep 13, 2014",East Carolina,28,Virginia Tech,21,1
175,3,"Sep 13, 2014",Florida,36,Kentucky,30,0
176,3,"Sep 13, 2014",Florida Atlantic,50,Tulsa,21,0
177,3,"Sep 13, 2014",Georgia Tech,42,Georgia Southern,38,0
178,3,"Sep 13, 2014",Hawaii,27,Northern Iowa,24,0
179,3,"Sep 13, 2014",Indiana State,27,Ball State,20,1
180,3,"Sep 13, 2014",Iowa State,20,Iowa,17,1
181,3,"Sep 13, 2014",LSU,31,Louisiana-Monroe,0,0
182,3,"Sep 13, 2014",Marshall,44,Ohio,14,0
183,3,"Sep 13, 2014",Miami,41,Arkansas State,20,0
184,3,"Sep 13, 2014",Michigan,34,Miami (OH),10,0
185,3,"Sep 13, 2014",Middle Tennessee,50,Western Kentucky,47,0
186,3,"Sep 13, 2014",Ole Miss,56,Louisiana,15,0
187,3,"Sep 13, 2014",Mississippi State,35,South Alabama,3,1
188,3,"Sep 13, 2014",Missouri,38,UCF,10,0
189,3,"Sep 13, 2014",Navy,35,Texas State,21,1
190,3,"Sep 13, 2014",Nebraska,55,Fresno State,19,1
191,3,"Sep 13, 2014",NC State,49,South Florida,17,1
192,3,"Sep 13, 2014",Northern Illinois,48,UNLV,34,1
193,3,"Sep 13, 2014",Notre Dame,30,Purdue,14,0
194,3,"Sep 13, 2014",Ohio State,66,Kent State,0,0
195,3,"Sep 13, 2014",Oklahoma,34,Tennessee,10,0
196,3,"Sep 13, 2014",Oklahoma State,43,UTSA,13,0
197,3,"Sep 13, 2014",Eastern Michigan,3,Old Dominion,17,1
198,3,"Sep 13, 2014",Oregon,48,Wyoming,14,0
199,3,"Sep 13, 2014",Penn State,13,Rutgers,10,1
200,3,"Sep 13, 2014",Pitt,42,Florida Int'l,25,1
201,3,"Sep 13, 2014",South Carolina,38,Georgia,35,0
202,3,"Sep 13, 2014",Stanford,35,Army,0,0
203,3,"Sep 13, 2014",Syracuse,40,Central Michigan,3,1
204,3,"Sep 13, 2014",Texas A&M,38,Rice,10,0
205,3,"Sep 13, 2014",Minnesota,7,TCU,30,1
206,3,"Sep 13, 2014",UTEP,42,New Mexico State,24,0
207,3,"Sep 13, 2014",Tulane,35,Southeastern Louisiana,20,0
208,3,"Sep 13, 2014",UCLA,20,Texas,17,0
209,3,"Sep 13, 2014",Utah State,36,Wake Forest,24,0
210,3,"Sep 13, 2014",Vanderbilt,34,Massachusetts,31,0
211,3,"Sep 13, 2014",Virginia,23,Louisville,21,0
212,3,"Sep 13, 2014",Washington,44,Illinois,19,0
213,3,"Sep 13, 2014",Washington State,59,Portland State,21,0
214,3,"Sep 13, 2014",West Virginia,40,Maryland,37,1
215,3,"Sep 13, 2014",Western Michigan,45,Idaho,33,1
216,4,"Sep 18, 2014",Auburn,20,Kansas State,14,1
217,4,"Sep 19, 2014",South Florida,17,Connecticut,14,0
218,4,"Sep 20, 2014",Alabama,42,Florida,21,0
219,4,"Sep 20, 2014",Arizona,49,California,45,0
220,4,"Sep 20, 2014",Arkansas,52,Northern Illinois,14,0
221,4,"Sep 20, 2014",Arkansas State,21,Utah State,14,0
222,4,"Sep 20, 2014",Louisiana,9,Boise State,34,1
223,4,"Sep 20, 2014",Boston College,40,Maine,10,0
224,4,"Sep 20, 2014",BYU,41,Virginia,33,0
225,4,"Sep 20, 2014",Norfolk State,7,Buffalo,36,1
226,4,"Sep 20, 2014",Bethune-Cookman,7,UCF,41,1
227,4,"Sep 20, 2014",Cincinnati,31,Miami (OH),24,0
228,4,"Sep 20, 2014",Colorado,21,Hawaii,12,0
229,4,"Sep 20, 2014",Duke,47,Tulane,13,0
230,4,"Sep 20, 2014",East Carolina,70,North Carolina,41,0
231,4,"Sep 20, 2014",Florida State,23,Clemson,17,0
232,4,"Sep 20, 2014",Fresno State,56,Southern Utah,16,0
233,4,"Sep 20, 2014",Georgia,66,Troy,0,0
234,4,"Sep 20, 2014",South Alabama,6,Georgia Southern,28,0
235,4,"Sep 20, 2014",Georgia Tech,27,Virginia Tech,24,1
236,4,"Sep 20, 2014",Houston,47,UNLV,14,0
237,4,"Sep 20, 2014",Illinois,42,Texas State,35,0
238,4,"Sep 20, 2014",Indiana,31,Missouri,27,1
239,4,"Sep 20, 2014",Iowa,24,Pitt,20,1
240,4,"Sep 20, 2014",Kansas,24,Central Michigan,10,0
241,4,"Sep 20, 2014",Louisville,34,Florida Int'l,3,1
242,4,"Sep 20, 2014",Marshall,48,Akron,17,1
243,4,"Sep 20, 2014",Maryland,34,Syracuse,20,1
244,4,"Sep 20, 2014",Memphis,36,Middle Tennessee,17,0
245,4,"Sep 20, 2014",Michigan State,73,Eastern Michigan,14,0
246,4,"Sep 20, 2014",San Jose State,7,Minnesota,24,1
247,4,"Sep 20, 2014",Mississippi State,34,LSU,29,1
248,4,"Sep 20, 2014",Nebraska,41,Miami,31,0
249,4,"Sep 20, 2014",New Mexico,38,New Mexico State,35,1
250,4,"Sep 20, 2014",NC State,42,Presbyterian,0,0
251,4,"Sep 20, 2014",North Texas,77,Nicholls State,3,0
252,4,"Sep 20, 2014",Western Illinois,7,Northwestern,24,1
253,4,"Sep 20, 2014",Northwestern State,30,Louisiana Tech,27,1
